ds,yhat,yhat_lower,yhat_upper
2015-05-01,113524.82043665281,4274.475779911592,216574.8816315465
2015-06-01,111713.32701420755,495.38058709941384,222931.9595937155
2015-07-01,114274.09780849192,8067.955456369661,227643.04456644724
2015-08-01,103838.63495522141,-4715.279114723778,221368.583080161
2015-09-01,112238.65801684848,10541.239377542217,224185.420765902
2015-10-01,118705.9260717229,11570.029155529222,230860.6935075231
2015-11-01,115085.7765645406,12883.304638780053,230415.88900195138
2015-12-01,108943.38298774027,2210.604478315507,222476.1112799322
2016-01-01,97630.43284053761,-13438.451983740608,213051.53825459295
2016-02-01,91062.6080049189,-20991.766519353554,201012.75753299313
2016-03-01,100163.90461992445,-12697.38670981837,203906.79523713066
2016-04-01,104115.13298329357,-6181.046834672737,204119.02115571185
2016-05-01,112299.27336333397,408.3263330560053,230188.48564087696
2016-06-01,110960.90514095977,7227.190265068814,231211.33344437488
2016-07-01,113846.5232787674,3734.6224032941623,223987.09994601496
2016-08-01,102977.55630781091,-10813.67362117351,210968.06992018776
2016-09-01,110853.95138264158,4766.775598986966,213398.4359075334
2016-10-01,117117.72554530816,10399.739545028304,229940.7427393894
2016-11-01,113687.8225951123,3974.943872555208,219006.53508987927
2016-12-01,108061.4486426448,-1848.726900988655,217500.66517438664
2017-01-01,96966.45003033901,-10825.83731437788,200774.81807887947
2017-02-01,89910.84348455,-21953.609953083753,200131.69296962384
2017-03-01,99000.85303057313,-14533.8866212092,208584.32606220254
2017-04-01,103219.65671160861,-2191.860912677682,208203.05311364192
2017-05-01,111286.73139676676,-1516.062347718679,218936.45322320284
2017-06-01,109788.17273803249,7501.948844052314,218787.43690277892
2017-07-01,112561.15888859477,4827.613867023886,218321.4529626628
2017-08-01,101825.23672542334,2249.5237333995738,214355.06321470946
2017-09-01,109881.13944449808,1508.5657557365128,216197.98778290793
2017-10-01,116221.35330797941,8440.318189862495,224294.46836637764
2017-11-01,112731.35066638596,1052.482424258222,222322.97992952177
2017-12-01,106932.28337403305,-7785.455076389619,218462.77750142073
2018-01-01,95756.64886368524,-14441.670468627519,203945.62428241016
2018-02-01,88859.62803990586,-24415.26960397683,197069.62888880726
2018-03-01,97840.40594601513,-9763.47686666856,215834.2714014008
2018-04-01,102325.9230113496,1409.6181000038987,214207.27309981192
2018-05-01,110266.45746785407,-9134.514554048583,220801.33008381425
2018-06-01,108610.09381694086,-6577.504189139259,206763.50737206227
2018-07-01,111274.7308460893,3910.429217455863,226961.8231553542
2018-08-01,100683.38917432138,2141.712732552081,209089.03319161644
2018-09-01,108913.96049699903,-9112.04684901766,225023.32298339132
2018-10-01,115322.02384916536,2686.5118984845076,228142.58794369485
2018-11-01,111768.54131813503,564.4264166125733,218262.37681718078
2018-12-01,105797.35868143592,-510.26417945766036,218528.35849581793
2019-01-01,94549.04441685753,-9641.49653445315,205954.5875178014
2019-02-01,87814.70839062617,-14650.46821326506,196091.15965645693
2019-03-01,96682.48981704566,-14535.658392108162,198636.67103995223
2019-04-01,101433.62379409082,-6546.560653925881,206609.73812818143
2019-05-01,109238.32952486112,627.4594832372787,220463.4379545085
2019-06-01,107426.83613447855,-12567.460146559328,217323.74091022002
2019-07-01,109987.60695600342,-85.80593580820847,216673.65545903027
2019-08-01,99552.14413088016,-11146.691764546404,205665.5040111712
2019-09-01,107952.16722065529,-2665.4233958908444,218430.57798075723
2019-10-01,114419.4353027706,5524.311866314213,226250.0266165577
2019-11-01,110799.28582373608,4665.111982596227,227009.79180365658
2019-12-01,104656.89228175738,-2730.73232622684,208393.02241593943
2020-01-01,93343.94217053834,-17387.47212548648,198864.810687623
2020-02-01,86776.11737090451,-27979.813264251647,191302.70320966252
2020-03-01,95877.41401956884,-10560.221414525082,215460.2196165802
2020-04-01,99828.64241892032,-5938.281782691793,208371.07878500904
2020-05-01,108012.78283378408,-4373.269058198885,217187.63694597688
2020-06-01,106674.41467978239,-9997.607966138094,209787.6908142132
2020-07-01,109560.03288375653,-34.54168795959495,214632.53961688574
2020-08-01,98691.06598117572,-4403.1294049616945,211560.39563328357
2020-09-01,106567.46112438,-2982.820191163195,215261.8076378195
2020-10-01,112831.23535321621,-6203.65021042455,215093.7005283258
2020-11-01,109401.3324240587,379.7258978318265,217506.04656759108
2020-12-01,103774.95849195041,5714.422757304366,215925.82316803373
2021-01-01,92679.95990068064,-10074.11000949951,202077.92811563105
2021-02-01,85624.35337593216,-16654.673828978564,197278.42170754934
2021-03-01,94714.36294095866,-10905.70200007791,202179.41892295296
2021-04-01,98933.16665978577,-3969.374785423414,203358.21496119566
2021-05-01,107000.24138151934,-110.03334142012076,212175.71861634502
2021-06-01,105501.68276057871,-1198.0562797464918,218391.0077906704
2021-07-01,108274.66894771908,2643.506596551786,217531.60146478435
2021-08-01,97538.74682233759,-7941.159905947901,210072.32318052588
2021-09-01,105594.64957920788,-9148.465133750844,217847.16247738575
2021-10-01,111934.86347610615,-332.86049758785,218434.2374828436
2021-11-01,108444.86086904642,-9853.520946209974,214035.93011276383
2021-12-01,102645.7936101098,188.9277507283165,212033.25962346038
2022-01-01,91470.1591342947,-26246.16234101326,201358.59524063484
2022-02-01,84573.13834505179,-24834.13369540242,195110.60751438056
2022-03-01,93553.91627045913,-6975.721069909242,194847.94295767692
2022-04-01,98039.43335715852,-15492.398510752626,200611.11297578222
2022-05-01,105979.96783434268,-5196.21756578214,214861.4311328102
2022-06-01,104323.60420479778,-481.35110228031385,212817.158832031
2022-07-01,106988.2412546238,-4230.552935502514,213547.12652111775
2022-08-01,96396.89959925375,-3489.494096968834,215002.09721608213
2022-09-01,104627.47093832691,2078.2301717154683,210363.4947384524
2022-10-01,111035.53430636485,5264.811307011889,229336.14008945075
2022-11-01,107482.05179173031,2505.9638635627857,220530.06794013942
2022-12-01,101510.86917089928,-6985.556479259421,212788.01161952649
2023-01-01,90262.55492271805,-18425.56542558347,196303.04263207063
2023-02-01,83528.21893056104,-29654.864922548764,188419.6117160802
2023-03-01,92396.00038775559,-22099.22621777425,195650.85855096704
2023-04-01,97147.13439887535,-20976.797546803617,209579.3121536203
2023-05-01,104951.84016262092,-6508.774547919954,222828.31029296754
2023-06-01,103140.34680631153,-6662.5879980128275,211327.8666194892
2023-07-01,105701.11765202488,-9752.230652765742,219534.73623452906
2023-08-01,95265.65485189679,-19365.475473159087,205800.63556741423
2023-09-01,103665.6779666656,-1640.3046563505827,218694.72235325212
2023-10-01,110132.94607296673,3294.396179858703,223610.02362268732
2023-11-01,106512.79661892945,804.557882283552,219832.75850210804
2023-12-01,100370.40309188148,-6504.52885884171,207879.47494351884
2024-01-01,89057.45299609148,-26579.961427800397,197817.87649037343
2024-02-01,82489.62821188313,-30781.852742040555,195195.57436636582
2024-03-01,91590.92487498088,-15672.961137497246,197568.78271629853
2024-04-01,95542.15328975958,-10291.720617749463,208374.38618285727
2024-05-01,103726.29371955275,-4615.971051804284,219141.84506828617
2024-06-01,102387.92557131761,-5115.750420350129,215536.76459798048
2024-07-01,105273.54378087414,-10526.473670436255,221514.32574589187
2024-08-01,94404.57688405587,-14125.080608988012,202372.11910173093
2024-09-01,102280.97203302426,-9259.506382600188,211813.34763643317
2024-10-01,108544.74626743916,908.3444561422514,214513.12109868036
2024-11-01,105114.84334169667,-9895.032747070882,208661.401013287
2024-12-01,99488.46941289518,-1698.5767990080599,212370.10049647602
2024-12-31,87855.15540548613,-21614.00370855488,197280.56725346937
2025-01-31,81457.38932445689,-30225.47875200656,192847.71917636076
2025-02-28,90087.43820014273,-13858.700872079686,193183.53284894573
2025-03-31,95365.60415454979,-7086.3299923954,206936.92614376865
2025-04-30,102871.60212962577,-5070.874547015804,213867.59798200693
2025-05-31,100759.02256713112,-9936.916710278838,210698.61543556224
2025-06-30,103126.24689664216,-9759.73688435721,209103.301666844
2025-07-31,93035.41345466978,-18786.576640234223,195075.49648840737
2025-08-31,101757.20679082898,-18652.302141055392,202387.848512327
2025-09-30,108316.80946639273,-1173.2189129191197,219206.34122255363
2025-10-31,104554.57561946254,1233.3524300537795,211340.77128588772
2025-11-30,98073.76525568636,-12683.30581336207,206754.76949425047
